Course Code,Academic Level,Section Code,Faculty Name,Resource ID,Resource Type,Entry Type,Duration,Day Of Week,Start Time,End Time
BMD,SE,S1,SSL,17,LAB,LAB,2,MONDAY,09:30,11:30
UNIX,SE,S2,PPP,13,LAB,LAB,2,MONDAY,09:30,11:30
PPL,SE,S3,SAK,14,LAB,LAB,2,MONDAY,09:30,11:30
M-IV,SE,ALL,SDC,10,CLASSROOM,LECTURE,1,MONDAY,11:30,12:30
PP,SE,ALL,SAK,10,CLASSROOM,LECTURE,1,MONDAY,12:30,13:30
MDM,SE,ALL,SSL,10,CLASSROOM,LECTURE,1,MONDAY,14:00,15:00
DTL,SE,ALL,VYB,10,CLASSROOM,LECTURE,1,MONDAY,15:00,16:00
BMD,SE,ALL,VYB,10,CLASSROOM,LECTURE,1,MONDAY,16:00,17:00
EH&F,TE,ALL,RPP,8,CLASSROOM,LECTURE,1,MONDAY,09:30,10:30
DMBI,TE,ALL,MND,8,CLASSROOM,LECTURE,1,MONDAY,10:30,11:30
MAD&PWA,TE,T1,RPP,17,LAB,LAB,2,MONDAY,11:30,13:30
BI,TE,T2,MND,13,LAB,LAB,2,MONDAY,11:30,13:30
WEB,TE,T3,SD,18,LAB,LAB,2,MONDAY,11:30,13:30
DS USING PYTHON,TE,T1,MND,13,LAB,LAB,2,MONDAY,14:00,16:00
WEB,TE,T2,SD,18,LAB,LAB,2,MONDAY,14:00,16:00
SENSOR,TE,T3,SSD,14,LAB,LAB,2,MONDAY,14:00,16:00
BLOCK CHAIN,BE,B1,SPP,16,LAB,LAB,2,MONDAY,09:30,11:30
CLOUD COMPUTING,BE,B3,SSD,14,LAB,LAB,2,MONDAY,09:30,11:30
BLOCK CHAIN,BE,ALL,SPP,9,CLASSROOM,LECTURE,1,MONDAY,11:30,12:30
PM,BE,ALL,SSD,9,CLASSROOM,LECTURE,1,MONDAY,12:30,13:30
DTL,SE,S1,SPP,16,LAB,LAB,2,TUESDAY,09:30,11:30
NDL,SE,S2,SD,18,LAB,LAB,2,TUESDAY,09:30,11:30
BMD,SE,S4,VYB,17,LAB,LAB,2,TUESDAY,09:30,11:30
M-IV,SE,ALL,SDC,10,CLASSROOM,LECTURE,1,TUESDAY,11:30,12:30
