Course Code,Academic Level,Section Code,Faculty Name,Resource ID,Resource Type,Entry Type,Duration,Day Of Week,Start Time,End Time
BMD,SE,S1,SSL,525(B),LAB,LAB,2,MONDAY,09:30,11:30
UNIX,SE,S2,PPP,522,LAB,LAB,2,MONDAY,09:30,11:30
PPL,SE,S3,SAK,523,LAB,LAB,2,MONDAY,09:30,11:30
M-IV,SE,SALL,WDP,519,CLASSROOM,LECTURE,1,MONDAY,11:30,12:30
PP,SE,SALL,SAK,519,CLASSROOM,LECTURE,1,MONDAY,12:30,13:30
MDM,SE,SALL,SSL,519,CLASSROOM,LECTURE,1,MONDAY,14:00,15:00
DTL,SE,SALL,VYB,519,CLASSROOM,LECTURE,1,MONDAY,15:00,16:00
BMD,SE,SALL,VYB,519,CLASSROOM,LECTURE,1,MONDAY,16:00,17:00
EH&F,TE,TALL,RPP,517,CLASSROOM,LECTURE,1,MONDAY,09:30,10:30
DMBI,TE,TALL,MND,517,CLASSROOM,LECTURE,1,MONDAY,10:30,11:30
MAD&PWA,TE,T1,RPP,525(B),LAB,LAB,2,MONDAY,11:30,13:30
BI,TE,T2,MND,522,LAB,LAB,2,MONDAY,11:30,13:30
WEB,TE,T3,SSD,526,LAB,LAB,2,MONDAY,11:30,13:30
DS USING PYTHON,TE,T1,MND,522,LAB,LAB,2,MONDAY,14:00,16:00
WEB,TE,T2,SSD,526,LAB,LAB,2,MONDAY,14:00,16:00
SENSOR,TE,T3,SSD,523,LAB,LAB,2,MONDAY,14:00,16:00
BLOCK CHAIN,BE,B1,SPP,525(A),LAB,LAB,2,MONDAY,09:30,11:30
CLOUD COMPUTING,BE,B3,SSD,523,LAB,LAB,2,MONDAY,09:30,11:30
BLOCK CHAIN,BE,BALL,SPP,518,CLASSROOM,LECTURE,1,MONDAY,11:30,12:30
PM,BE,BALL,SSD,518,CLASSROOM,LECTURE,1,MONDAY,12:30,13:30
DTL,SE,S1,SPP,525(A),LAB,LAB,2,TUESDAY,09:30,11:30
NDL,SE,S2,SSD,526,LAB,LAB,2,TUESDAY,09:30,11:30
BMD,SE,S4,VYB,525(B),LAB,LAB,2,TUESDAY,09:30,11:30
M-IV,SE,SALL,WDP,519,CLASSROOM,LECTURE,1,TUESDAY,11:30,12:30
OS,SE,SALL,PPP,519,CLASSROOM,LECTURE,1,TUESDAY,12:30,13:30
OE,SE,SALL,RPP,519,CLASSROOM,LECTURE,1,TUESDAY,14:00,15:00
MDM,SE,S1,SSL,525(B),LAB,LAB,2,TUESDAY,15:00,17:00
DTL,SE,S4,SPP,525(A),LAB,LAB,2,TUESDAY,15:00,17:00
UNIX,SE,S3,PPP,522,LAB,LAB,2,TUESDAY,15:00,17:00
PPL,SE,S2,SAK,523,LAB,LAB,2,TUESDAY,15:00,17:00
AI&DS-I,TE,TALL,PPP,519,CLASSROOM,LECTURE,1,TUESDAY,09:30,10:30
WEB X.0,TE,TALL,SSL,519,CLASSROOM,LECTURE,1,TUESDAY,10:30,11:30
WEB,TE,T1,SSD,526,LAB,LAB,2,TUESDAY,11:30,13:30
MAD&PWA,TE,T2,RPP,525(B),LAB,LAB,2,TUESDAY,11:30,13:30
BI,TE,T3,MND,522,LAB,LAB,2,TUESDAY,11:30,13:30
WT,TE,TALL,SSD,519,CLASSROOM,LECTURE,1,TUESDAY,14:00,15:00
DMBI,TE,TALL,MND,519,CLASSROOM,LECTURE,1,TUESDAY,15:00,16:00
CC&S,BE,BALL,SAK,519,CLASSROOM,LECTURE,1,TUESDAY,09:30,10:30
BIG DATA,BE,BALL,MND,519,CLASSROOM,LECTURE,1,TUESDAY,10:30,11:30
BLOCK CHAIN,BE,B2,SPP,525(A),LAB,LAB,2,TUESDAY,11:30,13:30
CLOUD COMPUTING,BE,B1,SSD,523,LAB,LAB,2,TUESDAY,11:30,13:30
CNND,SE,SALL,SSD,519,CLASSROOM,LECTURE,1,WEDNESDAY,09:30,10:30
OE,SE,SALL,RPP,519,CLASSROOM,LECTURE,1,WEDNESDAY,10:30,11:30
M-IV,SE,SALL,WDP,519,CLASSROOM,LECTURE,1,WEDNESDAY,11:30,12:30
OS,SE,SALL,PPP,519,CLASSROOM,LECTURE,1,WEDNESDAY,12:30,13:30
NDL,SE,S1,SSD,526,LAB,LAB,2,WEDNESDAY,14:00,16:00
DTL,SE,S3,SPP,525(A),LAB,LAB,2,WEDNESDAY,14:00,16:00
PPL,SE,S4,SAK,523,LAB,LAB,2,WEDNESDAY,14:00,16:00
